name,San Marino,Luxembourg,Monaco,Ljubljana,Bratislava,Podgorica,Bern,Skopje,Reykjavík,Rabat,Chi?in?u,Vilnius,Riga,Zagreb,Tallinn,Tbilisi,Belgrade,Tirana,Yerevan,Baku,Sofia,Minsk,Canberra,Sarajevo,Valletta,Jerusalem,Nicosia,Ankara,Budapest,Bucharest,Lisbon,Oslo,Warsaw,Dublin,Prague,Helsinki,København,Brussels,Kyiv,Madrid,Stockholm,Amsterdam,Berlin,Athens,Vienna,London,Moscow,Rome,Paris
San Marino,0.0,793.1876992453929,406.3858513244594,286.7979479517299,592.1891174866815,578.3388925357497,511.0867617859135,764.1409095164894,3099.3598422612326,1985.6683337653756,1326.956807157782,1514.0945986145396,1662.699421004705,349.8056028251153,1914.4091766316817,2625.4511780054095,648.033570594111,670.2127843437189,2654.058389801664,3065.7083260176382,892.8361952085,1562.2390431621243,12263.76917671202,478.24520427194034,904.4112809584277,2380.5999130808596,2024.462026916102,1741.5312061397406,652.095546578475,1093.1734716750318,1889.1289472747617,1780.5857517571603,1120.6397381543468,1721.5065228203914,699.8157098380549,1989.7538754579061,1305.6588960799797,980.1573443324965,1544.4185640356795,1387.303070352306,1753.4332373711666,1088.8617552956616,957.0309180216243,1152.2416919426112,563.1239672291478,1260.4077059558845,2215.1851571444718,225.78390279453305,948.7452706820465
Luxembourg,793.1876992453929,0.0,659.5454049761961,741.2599175914556,821.2610002048795,1285.9201842711882,315.6768084051438,1453.33214333924,2308.39782269611,2018.6103828180164,1701.1234181433765,1422.3202244797747,1442.1027723186787,852.3245048338571,1614.2997973707504,3076.4825321644234,1206.1019310919803,1406.1819503761828,3142.7609081525843,3506.028161027403,1527.2853372072882,1546.3570458324373,12542.952471880408,1131.7548882260444,1663.2358730984674,3095.690653578828,2715.7758888648905,2346.765641780624,982.8369157113715,1614.9710848194347,1704.020425841535,1183.9290571496938,1083.2033019955309,953.0589982041586,598.4715773890554,1670.3361261041255,802.6126363729492,187.14009930225865,1739.1368349925149,1276.3226738799044,1324.3606796212912,316.64920565521464,603.3396258070721,1902.7430950375826,765.8565588126423,489.92391740894965,2207.368391108861,987.9252918784165,287.3413976495997
Monaco,406.3858513244594,659.5454049761961,0.0,618.0877225140418,898.0947599972066,976.670477508843,352.5791451382054,1162.6121017623536,2916.3836578982437,1625.6804575023175,1714.435956739278,1774.429578763613,1878.137422017996,718.4578930725054,2102.8583462864417,3029.8640247607855,1050.1211151602195,1054.7524660573665,3060.1580894501876,3470.0485331212294,1297.7361723998995,1850.9388602757201,12656.767026129337,884.6310470971479,1058.2540906117895,2749.920218275407,2406.8222837964317,2144.680300870392,1001.7906521960844,1497.3526432323774,1488.1361558774927,1812.7284495093459,1382.3138995149814,1465.8265674738532,884.1021251252039,2171.2564118620016,1377.3194958573663,822.1292949510737,1896.186592171345,988.0055564018311,1878.000259528193,975.0115004603671,1072.217845995094,1513.2767654483055,852.8720405161995,1031.496168068737,2520.0528097084966,463.39659153630015,689.6391784074304
Ljubljana,286.7979479517299,741.2599175914556,618.0877225140418,0.0,305.69076554260363,548.807910197884,549.8043791829697,712.1411599264619,2991.576154439939,2238.790467317393,1103.3097693947793,1227.3643269655197,1380.1904658144524,118.64304883249076,1636.1295966415191,2445.479471539147,484.9806180188882,674.7885565890349,2489.512212614723,2884.083520684176,792.6255642859088,1276.7561048016562,12044.609044696152,390.63785532957746,1122.7435137989687,2354.5961219468772,1976.703061498562,1630.3010227959248,384.4964330401633,924.9247194287709,2097.1004961879457,1561.954085161331,834.2847500825912,1694.1126398756883,448.19799783991806,1712.7114828644894,1079.2431922482667,920.6647628879908,1280.99296724629,1600.8308348389628,1495.161871457507,988.0208832844262,723.7504484541157,1169.6639772247108,277.071176489289,1231.136215663916,1933.3490773125577,489.4075781876805,967.6999768259624
Bratislava,592.1891174866815,821.2610002048795,898.0947599972066,305.69076554260363,0.0,652.4156525698645,739.3188674029295,760.7511851925443,2922.6258396833914,2523.7043707303146,889.2187180072481,923.239099452363,1087.0121013182904,274.8953224988077,1350.372485503774,2261.394482315551,449.5604494297036,785.6745429262484,2323.049541627686,2694.4354338845405,774.1319103312989,971.4258617014355,11801.774378714319,487.2222887157703,1373.678111389465,2345.757692471076,1951.5450973506452,1542.6198236224748,163.54368844868486,802.3713271865162,2348.1566654988846,1373.0231023633464,532.5306506474446,1737.0356892778454,291.4214366792966,1428.9091307408155,894.1881758758348,971.6012487375485,1004.2748062129716,1860.3511351411535,1245.5205981787296,985.7898921202706,553.5407648162313,1243.935347056881,56.2249880189669,1291.0933436612354,1631.0036373966777,784.8565241881568,1092.1448617407134
Podgorica,578.3388925357497,1285.9201842711882,976.670477508843,548.807910197884,652.4156525698645,0.0,1056.1341211133333,186.08857223298415,3532.4578955152983,2458.633077388476,914.7447666677782,1431.5090117647933,1649.3864942760679,451.8432031414902,1926.6161763172904,2095.6418670931394,279.3719500311159,133.83643701862457,2108.5510559895793,2534.343802263549,334.03760249287484,1414.7788731760918,11765.857223898385,169.02730014325192,836.7055001658622,1818.1497374451164,1451.753854179559,1169.3782381519652,559.3306275195006,596.8509115134332,2431.457856552021,2025.4359978589307,1094.3552064146706,2238.5935761929545,923.4519011040235,2008.2119715400588,1545.9758059685118,1467.829636460515,1239.6229623396655,1930.2648078115026,1877.4166465745427,1535.9606467493388,1199.796540749136,621.2537545002692,675.1723052101652,1774.5030548829402,1986.7129617441358,565.8913573746363,1492.4305140348765
Bern,511.0867617859135,315.6768084051438,352.5791451382054,549.8043791829697,739.3188674029295,1056.1341211133333,0.0,1235.30017779791,2613.2920045000437,1856.995210311868,1621.6848285112317,1518.6749168270248,1589.3071207804742,668.4432825048661,1795.844145661001,2983.2626177422994,1034.7077971689116,1164.5627327412037,3033.3535924256535,3419.946158203867,1335.2770011191703,1617.110568038444,12539.566032922434,919.4988736850828,1351.9696536182835,2873.8315101825856,2506.4912313214486,2178.6784250895385,881.8948536796723,1472.8455743286797,1622.2141309256249,1462.0359042480734,1141.0365652623332,1210.9466046935372,622.9977805534938,1860.0940478417353,1036.7440357106227,492.811168264156,1732.6122447858493,1148.9821176997586,1546.9970467246567,631.984668097504,755.5725545140924,1655.9550499609973,684.6758502979812,751.7597793553151,2289.731028371702,685.0903920981563,439.4187580348944
Skopje,764.1409095164894,1453.33214333924,1162.6121017623536,712.1411599264619,760.7511851925443,186.08857223298415,1235.30017779791,0.0,3672.9603269598024,2625.2562839177544,814.8874837361569,1441.9485582998193,1676.2049117476477,604.9603546518782,1955.4772191193017,1925.6869726965847,321.97191813042684,154.71705252124306,1932.6497976558953,2362.9058738234635,173.66548333176664,1403.2679977318974,11601.313141799734,321.5873627666398,907.5281622527988,1643.4295753972874,1271.2202145592055,984.7523806799087,637.4404613517083,468.23620799419297,2612.2945806469697,2122.080925842397,1138.246863755836,2406.2529973178443,1046.3115133870492,2037.5789201090447,1649.845635444573,1632.3996616940715,1174.2033898948785,2111.8052415980205,1941.5802438141448,1690.7915498941327,1314.2678648562496,483.19978289760724,793.5346865188734,1943.1173635126106,1932.7243178514539,744.2538235771482,1669.1231592344304
Reykjavík,3099.3598422612326,2308.39782269611,2916.3836578982437,2991.576154439939,2922.6258396833914,3532.4578955152983,2613.2920045000437,3672.9603269598024,0.0,3520.6842232301883,3579.890883237823,2798.602073697239,2582.512480806146,3080.7088115288916,2459.90154600907,4810.805124473626,3371.8002287258314,3662.9873024807016,4933.321014981561,5171.8668589340405,3696.2634028619777,2966.3406245122455,13413.100914881032,3365.292124216367,3963.648253497989,5255.519247077999,4854.943762917497,4394.889974570345,3070.2374125841443,3669.805623746707,2968.230972644812,1746.2358127674922,2770.5021858319774,1492.983958994201,2631.6116823996335,2428.659299256877,2102.307643264395,2123.0907035379346,3378.2629098916973,2903.247622786184,2139.4176892905257,2013.2582729097378,2382.413311094958,4150.844283148417,2883.4130687587444,1886.0043447713535,3324.745668131867,3295.703610114595,2229.3038613164135
Rabat,1985.6683337653756,2018.6103828180164,1625.6804575023175,2238.790467317393,2523.7043707303146,2458.633077388476,1856.995210311868,2625.2562839177544,3520.6842232301883,0.0,3309.873330456576,3374.407967157835,3441.1870732046455,2329.3180505037967,3630.6300655409345,4550.9184014156235,2618.82653612897,2480.0150340623454,4552.600510941734,4987.5675272094195,2790.8528013277246,3465.2060707202027,14224.472280132582,2428.0959521541986,1971.8107260560475,3937.790693360147,3685.1539703733392,3576.006968272585,2623.17353161824,3044.928353004061,564.2948188643338,3139.4548622085163,2990.7613533552826,2145.8275308084526,2476.0457735969258,3688.394720344507,2818.0152841064846,2062.608857279899,3519.744840501589,751.8464595748281,3339.3320063504575,2229.512791267669,2598.1499460686414,2792.85760627608,2477.7422098067677,2005.7966286078706,4137.420330321493,1900.4601626520146,1801.454879036737
Chi?in?u,1326.956807157782,1701.1234181433765,1714.435956739278,1103.3097693947793,889.2187180072481,914.7447666677782,1621.6848285112317,814.8874837361569,3579.890883237823,3309.873330456576,0.0,891.6323774394581,1156.1624762836072,996.3742656688744,1414.6035832308037,1375.3866641194618,695.6810013327366,963.3408901320586,1447.4573530136056,1805.9868108458404,653.5040628529584,775.4912768225751,10942.552078868666,892.8297679640066,1722.3698780550299,1758.1749117655465,1359.0166708877834,845.5929280506384,739.7918946662711,359.61644029133436,3199.744560952568,1861.8867786947505,809.5975812835181,2571.928817779799,1114.3632657022013,1492.060611224422,1482.0113054139017,1834.9387185539272,402.95878850335265,2701.7741385617455,1547.1345798498546,1814.2380825664457,1264.9318560392592,1091.8737082012121,945.3917642226112,2149.167707262671,1152.5396332086752,1421.6952090103728,1978.4951352821497
