Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Albania,ALB,2854191,2837849,2811666,2777689,2745972
"Population, total",SP.POP.TOTL,Andorra,AND,76474,77380,78364,79705,80856
"Population, total",SP.POP.TOTL,Armenia,ARM,2962500,2961500,2962300,2969200,2990900
"Population, total",SP.POP.TOTL,Australia,AUS,25334826,25649248,25685412,26014399,26658948
"Population, total",SP.POP.TOTL,Austria,AUT,8879920,8916864,8955797,9041851,9131761
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10024283,10093121,10137750,10141756,10153958
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,394675,395863,396373,397538,399440
"Population, total",SP.POP.TOTL,Belarus,BLR,9419758,9379952,9302585,9228071,9178298
"Population, total",SP.POP.TOTL,Belgium,BEL,11488980,11538604,11586195,11680210,11787423
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3345533,3299349,3244907,3204802,3185073
"Population, total",SP.POP.TOTL,Brazil,BRA,207455459,208660842,209550294,210306415,211140729
"Population, total",SP.POP.TOTL,Canada,CAN,37618495,38028638,38239864,38939056,40097761
"Population, total",SP.POP.TOTL,Channel Islands,CHI,165639,166235,166741,167215,167691
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,92947442,95989998,99148932,102396968,105789731
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5616661,5752791,5892183,6035104,6182885
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4999553,5034320,5059988,5081765,5105525
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,28193009,28915449,29639736,30395002,31165654
"Population, total",SP.POP.TOTL,Croatia,HRV,3949390,3914206,3878981,3855641,3859686
"Population, total",SP.POP.TOTL,Cyprus,CYP,1286671,1302247,1317309,1331370,1344976
"Population, total",SP.POP.TOTL,Czechia,CZE,10671870,10697858,10505772,10672118,10864042
"Population, total",SP.POP.TOTL,Denmark,DNK,5814422,5831404,5856733,5903037,5946952
"Population, total",SP.POP.TOTL,Dominica,DMA,67880,67573,67202,66826,66510
"Population, total",SP.POP.TOTL,Ecuador,ECU,17340021,17546065,17682454,17823897,17980083
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,107553158,109315124,110957008,112618250,114535772
"Population, total",SP.POP.TOTL,El Salvador,SLV,6222318,6234673,6255782,6280319,6309624
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1670177,1716468,1758786,1803545,1847549
"Population, total",SP.POP.TOTL,Eritrea,ERI,3240194,3291271,3350183,3409447,3470390
"Population, total",SP.POP.TOTL,Estonia,EST,1326898,1329522,1330932,1348840,1370286
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,51795,52571,53315,53952,54482
"Population, total",SP.POP.TOTL,Finland,FIN,5521606,5529543,5541017,5556106,5583911
"Population, total",SP.POP.TOTL,France,FRA,67382061,67601110,67842811,68065015,68287487
"Population, total",SP.POP.TOTL,French Polynesia,PYF,279034,279209,279792,280378,281118
"Population, total",SP.POP.TOTL,Georgia,GEO,3720161,3722716,3708610,3712502,3715483
"Population, total",SP.POP.TOTL,Germany,DEU,83092962,83160871,83196078,83797985,83280000
"Population, total",SP.POP.TOTL,Gibraltar,GIB,35494,36173,36858,37609,38471
"Population, total",SP.POP.TOTL,Greece,GRC,10721582,10698599,10569207,10436882,10405588
"Population, total",SP.POP.TOTL,Greenland,GRL,56225,56367,56653,56661,56865
"Population, total",SP.POP.TOTL,Grenada,GRD,115981,116341,116688,116913,117081
"Population, total",SP.POP.TOTL,Guatemala,GTM,17103803,17357325,17598650,17847877,18124838
"Population, total",SP.POP.TOTL,Guinea,GIN,13034346,13371183,13710513,14055137,14405468
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1967696,2013255,2058841,2105529,2153339
"Population, total",SP.POP.TOTL,Guyana,GUY,807665,807481,815482,821637,826353
"Population, total",SP.POP.TOTL,Honduras,HND,9943633,10119640,10289877,10463872,10644851
"Population, total",SP.POP.TOTL,Hungary,HUN,9771141,9750149,9709891,9644377,9592186
"Population, total",SP.POP.TOTL,Iceland,ISL,360563,366463,372520,382003,393349
"Population, total",SP.POP.TOTL,Ireland,IRL,4934340,4985382,5033164,5165700,5307600
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83957,84064,84106,84132,84165
"Population, total",SP.POP.TOTL,Israel,ISR,9054000,9215100,9371400,9557500,9756600
"Population, total",SP.POP.TOTL,Italy,ITA,59729081,59438851,59133173,59013667,58993475
"Population, total",SP.POP.TOTL,Jamaica,JAM,2823271,2830739,2837682,2839144,2839786
"Population, total",SP.POP.TOTL,Japan,JPN,126633000,126261000,125681593,125124989,124516650
"Population, total",SP.POP.TOTL,Jordan,JOR,10671891,10865228,11066356,11256263,11439213
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,19209555,19482117,19743603,20034609,20330104
"Population, total",SP.POP.TOTL,Kenya,KEN,51202827,52217334,53219166,54252461,55339003
"Population, total",SP.POP.TOTL,Kiribati,KIR,123921,126099,128377,130469,132530
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788891,1790152,1786080,1768096,1756366
"Population, total",SP.POP.TOTL,Latvia,LVA,1913822,1900449,1884490,1879383,1877445
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38563,38901,39182,39493,39850
"Population, total",SP.POP.TOTL,Luxembourg,LUX,620001,630419,640064,653103,666430
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1876262,1856124,1837114,1831712,1827816
"Population, total",SP.POP.TOTL,Malta,MLT,504062,515332,518536,531511,552747
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,44007,42706,41367,40077,38827
"Population, total",SP.POP.TOTL,Mauritania,MRT,4467708,4600131,4734874,4875637,5022441
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265985,1266014,1266334,1262523,1261041
"Population, total",SP.POP.TOTL,Moldova,MDA,2664224,2635130,2595809,2528654,2457783
"Population, total",SP.POP.TOTL,Monaco,MCO,38109,38050,38527,38931,38956
"Population, total",SP.POP.TOTL,Montenegro,MNE,622028,621306,619211,617213,616177
"Population, total",SP.POP.TOTL,Morocco,MAR,36210898,36584208,36954442,37329064,37712505
"Population, total",SP.POP.TOTL,Netherlands,NLD,17344874,17441500,17533044,17700982,17877117
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283606,284176,285214,287123,289870
"Population, total",SP.POP.TOTL,New Zealand,NZL,4979200,5090200,5111300,5117200,5223100
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,9609010,9815746,10012896,10203169,10389635
"Population, total",SP.POP.TOTL,Poland,POL,37965475,37899070,36981559,36821749,36687353
"Population, total",SP.POP.TOTL,Portugal,PRT,10286263,10297081,10361831,10434332,10578174
"Population, total",SP.POP.TOTL,Romania,ROU,19371648,19265250,19122059,19048502,19059479
"Population, total",SP.POP.TOTL,Russian Federation,RUS,145453291,145245148,144746762,144236933,143826130
"Population, total",SP.POP.TOTL,Samoa,WSM,209780,211944,213779,215261,216663
"Population, total",SP.POP.TOTL,San Marino,SMR,34663,34770,34252,33755,33860
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30063799,31552510,30784383,32175224,33264292
"Population, total",SP.POP.TOTL,Serbia,SRB,6945235,6899126,6834326,6664449,6623183
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625,98462,99258,119878,119773
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569,5685807,5453566,5637022,5917648
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40385,41008,41571,42139,42749
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454147,5458827,5447247,5431752,5426740
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,728147,744498,762591,781066,800005
"Population, total",SP.POP.TOTL,South Africa,ZAF,59587885,60562381,61502603,62378410,63212384
"Population, total",SP.POP.TOTL,Spain,ESP,47134837,47365655,47415794,47759127,48347910
"Population, total",SP.POP.TOTL,St. Lucia,LCA,177661,178250,178522,178781,179285
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,34267,31786,29961,28870,27515
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,104167,103526,102841,102046,101323
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887,10353442,10415811,10486941,10536632
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280,8638167,8704546,8777088,8888093
"Population, total",SP.POP.TOTL,Tunisia,TUN,11875081,11974057,12048622,12119334,12200431
"Population, total",SP.POP.TOTL,Turkiye,TUR,82579440,83384680,84147318,84979913,85325965
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,43166,44386,45243,45847,46198
"Population, total",SP.POP.TOTL,Ukraine,UKR,44957458,44680014,44298640,41048766,37732836
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66836327,67081234,67026292,67791000,68350000
"Population, total",SP.POP.TOTL,United States,USA,328329953,331526933,332048977,333271411,334914895
"Population, total",SP.POP.TOTL,Norway,NOR,5347896,5379475,5408320,5457127,5519594
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385,2102419,2108079,2112076,2120461
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287
