,at,be,dk,fr,de,it,lu,nl,ch,gb,se,mc,no,fi,es,pt,ie,mt,il,gr,tr,ma,cy,is,ba,hr,si,ee,hu,lt,pl,ro,ru,sk,mk,lv,ua,al,ad,by,bg,md,am,cz,ge,me,rs,az,sm,au
at,30,16,6,8,24,3,17,15,20,13,13,6,12,4,2,10,16,23,4,12,3,9,13,5,6,10,9,20,12,20,4,9,6,13,6,15,9,6,6,1,13,6,6,12,10,6,10,6,6,12
be,16,30,5,18,17,8,17,20,23,8,12,8,12,4,7,8,10,20,4,6,3,11,7,4,8,4,8,12,8,12,6,4,5,10,8,7,6,8,8,1,9,8,8,14,6,8,6,8,8,8
dk,6,5,12,4,5,3,5,4,5,7,8,7,10,4,2,3,7,8,4,3,2,4,7,7,7,7,7,8,4,8,4,4,1,4,7,8,4,7,7,2,7,7,7,4,7,7,7,7,7,7
fr,8,18,4,30,9,8,15,10,18,4,8,8,7,4,10,9,6,11,4,5,3,9,6,4,8,6,8,8,10,8,6,6,5,7,8,8,8,8,8,1,8,8,8,9,8,8,8,8,8,6
de,24,17,5,9,30,3,21,18,19,8,11,10,10,4,2,15,10,21,4,12,3,9,12,4,10,9,8,16,12,16,5,9,12,13,10,11,11,10,10,1,13,10,10,16,10,10,10,10,10,7
it,3,8,3,8,3,17,6,6,7,3,3,6,3,3,6,6,3,5,3,3,3,5,4,3,6,3,3,4,3,3,3,3,1,3,6,3,4,6,6,2,3,6,6,3,3,6,3,6,6,4
lu,17,17,5,15,21,6,30,16,23,7,12,14,11,4,8,16,9,17,4,7,4,10,8,5,14,7,9,10,9,10,5,6,12,10,14,8,7,14,14,1,9,14,14,17,8,14,8,14,14,6
nl,15,20,4,10,18,6,16,30,17,9,12,10,12,3,6,12,10,19,3,5,2,8,6,4,10,3,5,9,5,9,3,3,7,9,10,4,3,10,10,1,6,10,10,15,3,10,3,10,10,8
ch,20,23,5,18,19,7,23,17,30,9,14,9,13,4,9,10,12,22,4,9,4,13,10,5,9,7,11,14,11,14,6,6,7,11,9,9,8,9,9,1,12,9,9,14,9,9,9,9,9,8
gb,13,8,7,4,8,3,7,9,9,26,9,9,8,4,3,5,21,11,4,5,2,8,9,8,9,7,7,19,4,17,4,4,3,4,9,13,4,9,9,1,9,9,9,4,9,9,7,9,9,20
se,13,12,8,8,11,3,12,12,14,9,24,7,20,4,2,3,12,17,4,4,3,4,7,7,7,7,11,7,7,7,4,4,1,11,7,7,4,7,7,2,7,7,7,14,7,7,7,7,7,10
mc,6,8,7,8,10,6,14,10,9,9,7,30,7,4,8,12,8,9,4,3,2,4,7,7,30,7,8,9,5,10,5,4,15,4,30,10,5,30,30,1,8,30,30,11,10,30,8,30,30,9
no,12,12,10,7,10,3,11,12,13,8,20,7,23,4,2,3,11,17,4,3,2,4,7,7,7,7,10,7,7,7,4,4,1,11,7,7,4,7,7,1,7,7,7,14,7,7,7,7,7,9
