,at,be,dk,fr,de,it,lu,nl,ch,gb,se,mc,no,fi,es,pt,ie,mt,il,gr,tr,ma,cy,is,ba,hr,si,ee,hu,lt,pl,ro,ru,sk,mk,lv,ua,al,ad,by,bg,md,am,cz,ge,me,rs,az,sm,au
at,1.0,0.25,0.09090909090909091,0.09090909090909091,0.6666666666666666,0.034482758620689655,0.3333333333333333,0.25,0.42857142857142855,0.22448979591836735,0.2,0.2,0.2,0.1111111111111111,0.0,0.1111111111111111,0.22448979591836735,0.36363636363636365,0.16326530612244897,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.15384615384615385,0.2,0.2,0.07142857142857142,0.17647058823529413,0.2,0.15384615384615385,0.2,0.09090909090909091,0.1111111111111111,0.0,0.15384615384615385,0.2,0.2,0.1111111111111111,0.2,0.2,0.0,0.09090909090909091,0.2,0.2,0.15384615384615385,0.2,0.2,0.07142857142857142,0.2,0.2,0.22448979591836735
be,0.25,1.0,0.1111111111111111,0.25,0.22448979591836735,0.034482758620689655,0.5789473684210527,0.30434782608695654,0.5789473684210527,0.25,0.25,0.2,0.2,0.1111111111111111,0.01694915254237288,0.1320754716981132,0.25,0.4634146341463415,0.14,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.1320754716981132,0.15384615384615385,0.2,0.07142857142857142,0.17647058823529413,0.25,0.2,0.2765957446808511,0.15384615384615385,0.09090909090909091,0.15384615384615385,0.1320754716981132,0.2,0.22448979591836735,0.15384615384615385,0.2,0.2,0.0,0.1320754716981132,0.2,0.2,0.15384615384615385,0.25,0.2,0.1320754716981132,0.2,0.2,0.22448979591836735
dk,0.09090909090909091,0.1111111111111111,1.0,0.07142857142857142,0.09090909090909091,0.034482758620689655,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.15384615384615385,0.09090909090909091,0.0,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.09615384615384616,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.05263157894736842,0.07142857142857142,0.0,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.0,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.1111111111111111
fr,0.09090909090909091,0.25,0.07142857142857142,1.0,0.09090909090909091,0.034482758620689655,0.17647058823529413,0.07142857142857142,0.2,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.07142857142857142,0.01694915254237288,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09615384615384616,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.07142857142857142,0.09090909090909091,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.1320754716981132,0.09090909090909091,0.05263157894736842,0.09090909090909091,0.1111111111111111,0.15384615384615385,0.15384615384615385,0.1111111111111111,0.1111111111111111,0.0,0.1320754716981132,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.15384615384615385,0.1111111111111111,0.1320754716981132,0.1111111111111111,0.1111111111111111,0.09090909090909091
de,0.6666666666666666,0.22448979591836735,0.09090909090909091,0.09090909090909091,1.0,0.034482758620689655,0.30434782608695654,0.22448979591836735,0.36363636363636365,0.2,0.2,0.2,0.2,0.1111111111111111,0.0,0.1111111111111111,0.2,0.30434782608695654,0.16326530612244897,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.15384615384615385,0.17647058823529413,0.2,0.07142857142857142,0.17647058823529413,0.17647058823529413,0.15384615384615385,0.2,0.09090909090909091,0.1111111111111111,0.0,0.15384615384615385,0.2,0.17647058823529413,0.1111111111111111,0.2,0.2,0.0,0.09090909090909091,0.2,0.2,0.15384615384615385,0.17647058823529413,0.2,0.07142857142857142,0.2,0.2,0.17647058823529413
it,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,1.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.03636363636363636,0.0,0.034482758620689655,0.05263157894736842,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
lu,0.3333333333333333,0.5789473684210527,0.1111111111111111,0.17647058823529413,0.30434782608695654,0.034482758620689655,1.0,0.2765957446808511,0.6666666666666666,0.25,0.25,0.22448979591836735,0.22448979591836735,0.1111111111111111,0.01694915254237288,0.1320754716981132,0.25,0.5789473684210527,0.16326530612244897,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.15384615384615385,0.17647058823529413,0.22448979591836735,0.07142857142857142,0.17647058823529413,0.2,0.15384615384615385,0.22448979591836735,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.15384615384615385,0.22448979591836735,0.17647058823529413,0.1111111111111111,0.22448979591836735,0.22448979591836735,0.0,0.09090909090909091,0.22448979591836735,0.22448979591836735,0.15384615384615385,0.2,0.22448979591836735,0.07142857142857142,0.22448979591836735,0.22448979591836735,0.22448979591836735
nl,0.25,0.30434782608695654,0.09090909090909091,0.07142857142857142,0.22448979591836735,0.034482758620689655,0.2765957446808511,1.0,0.2765957446808511,0.17647058823529413,0.17647058823529413,0.1320754716981132,0.15384615384615385,0.09090909090909091,0.0,0.09090909090909091,0.17647058823529413,0.30434782608695654,0.11764705882352941,0.0,0.034482758620689655,0.05263157894736842,0.1111111111111111,0.1111111111111111,0.1320754716981132,0.05263157894736842,0.1320754716981132,0.1320754716981132,0.1111111111111111,0.15384615384615385,0.09090909090909091,0.07142857142857142,0.0,0.1111111111111111,0.1320754716981132,0.1111111111111111,0.07142857142857142,0.1320754716981132,0.1320754716981132,0.0,0.05263157894736842,0.1320754716981132,0.1320754716981132,0.1111111111111111,0.1320754716981132,0.1320754716981132,0.05263157894736842,0.1320754716981132,0.1320754716981132,0.15384615384615385
ch,0.42857142857142855,0.5789473684210527,0.1111111111111111,0.2,0.36363636363636365,0.034482758620689655,0.6666666666666666,0.2765957446808511,1.0,0.25,0.25,0.22448979591836735,0.22448979591836735,0.1111111111111111,0.01694915254237288,0.1320754716981132,0.25,0.5384615384615384,0.16326530612244897,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.15384615384615385,0.17647058823529413,0.22448979591836735,0.07142857142857142,0.17647058823529413,0.2765957446808511,0.22448979591836735,0.30434782608695654,0.15384615384615385,0.1111111111111111,0.1320754716981132,0.15384615384615385,0.22448979591836735,0.25,0.17647058823529413,0.22448979591836735,0.22448979591836735,0.0,0.15384615384615385,0.22448979591836735,0.22448979591836735,0.15384615384615385,0.2765957446808511,0.22448979591836735,0.1320754716981132,0.22448979591836735,0.22448979591836735,0.22448979591836735
gb,0.22448979591836735,0.25,0.1111111111111111,0.09090909090909091,0.2,0.034482758620689655,0.25,0.17647058823529413,0.25,1.0,0.25,0.36363636363636365,0.2765957446808511,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0.4634146341463415,0.16326530612244897,0.01694915254237288,0.034482758620689655,0.05263157894736842,0.15384615384615385,0.25,0.36363636363636365,0.07142857142857142,0.25,0.3953488372093023,0.15384615384615385,0.4634146341463415,0.09090909090909091,0.1111111111111111,0.0,0.15384615384615385,0.36363636363636365,0.36363636363636365,0.1111111111111111,0.36363636363636365,0.36363636363636365,0.0,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.1320754716981132,0.36363636363636365,0.36363636363636365,0.07142857142857142,0.36363636363636365,0.36363636363636365,0.6666666666666666
