,year,round,from_country,to_country,total_points,tele_points,jury_points,from_capital,to_capital,distance
0,1957,final,at,nl,6,,,Vienna,Amsterdam,935.9264958181074
1,1957,final,at,fr,0,,,Vienna,Paris,1036.0407521679517
2,1957,final,at,dk,0,,,Vienna,København,871.9691649208438
3,1957,final,at,lu,3,,,Vienna,Luxembourg,765.8565588126423
4,1957,final,at,de,0,,,Vienna,Berlin,524.8127243398101
5,1957,final,at,it,0,,,Vienna,Rome,764.1043383207954
6,1957,final,at,gb,1,,,Vienna,London,1237.492543618928
7,1957,final,at,be,0,,,Vienna,Brussels,917.8641762519657
8,1957,final,at,ch,0,,,Vienna,Bern,684.6758502979812
9,1957,final,at,at,0,,,Vienna,Vienna,0.0
10,1957,final,be,nl,5,,,Brussels,Amsterdam,173.5729934310053
11,1957,final,be,fr,2,,,Brussels,Paris,261.801328672752
12,1957,final,be,dk,0,,,Brussels,København,768.7293452682493
13,1957,final,be,lu,0,,,Brussels,Luxembourg,187.14009930225865
14,1957,final,be,de,1,,,Brussels,Berlin,654.1588402686469
15,1957,final,be,it,1,,,Brussels,Rome,1172.6152169771856
16,1957,final,be,gb,1,,,Brussels,London,319.69309808111706
17,1957,final,be,be,0,,,Brussels,Brussels,0.0
18,1957,final,be,ch,0,,,Brussels,Bern,492.811168264156
19,1957,final,be,at,0,,,Brussels,Vienna,917.8641762519657
20,1957,final,dk,nl,3,,,København,Amsterdam,622.7972574644137
21,1957,final,dk,fr,2,,,København,Paris,1028.2593187791992
22,1957,final,dk,dk,0,,,København,København,0.0
23,1957,final,dk,lu,0,,,København,Luxembourg,802.6126363729492
24,1957,final,dk,de,0,,,København,Berlin,355.6111228302461
25,1957,final,dk,it,1,,,København,Rome,1531.41171527301
26,1957,final,dk,gb,0,,,København,London,957.8249123802724
27,1957,final,dk,be,2,,,København,Brussels,768.7293452682493
28,1957,final,dk,ch,2,,,København,Bern,1036.7440357106227
29,1957,final,dk,at,0,,,København,Vienna,871.9691649208438
30,1957,final,fr,nl,4,,,Paris,Amsterdam,428.811084580661
31,1957,final,fr,fr,0,,,Paris,Paris,0.0
32,1957,final,fr,dk,0,,,Paris,København,1028.2593187791992
33,1957,final,fr,lu,0,,,Paris,Luxembourg,287.3413976495997
34,1957,final,fr,de,6,,,Paris,Berlin,879.1173202399925
35,1957,final,fr,it,0,,,Paris,Rome,1106.6514654769796
36,1957,final,fr,gb,0,,,Paris,London,343.34816760322576
37,1957,final,fr,be,0,,,Paris,Brussels,261.801328672752
38,1957,final,fr,ch,0,,,Paris,Bern,439.4187580348944
39,1957,final,fr,at,0,,,Paris,Vienna,1036.0407521679517
40,1957,final,de,nl,1,,,Berlin,Amsterdam,576.9659417505894
41,1957,final,de,fr,6,,,Berlin,Paris,879.1173202399925
42,1957,final,de,dk,0,,,Berlin,København,355.6111228302461
